x1;y1;z1;x2;y2;z2
-0.858927762914;0.121607854144;-0.0678156933388;-0.100387678599;0.14252201109;-0.0850216981743
0.759678101763;167.084.933.716;0.389506443363;-0.841098362432;0.745253687488;0.0772495602215
16.178.351.592;0.671663712413;0.676541754404;-0.086900337279;116.250.599.725;0.822100957178
187.830.282.065;0.985942302305;175.657.907.672;-0.418153015989;247.176.489.125;0.234493023372
0.809847170863;-0.115243084349;-0.958695112654;-0.197122458852;-169.476.239.552;132.486.987.031
0.268555760283;133.798.679.839;0.225931050084;0.0391933774019;-0.48991323684;135.806.542.101
230.810.416.239;-0.179934882508;-0.23357228432;-0.759329967599;184.409.425.219;-0.737286816662
0.282888011561;0.540179686408;-133.222.052.754;-129.266.640.992;0.367526589193;-0.563373179749
175.225.768.912;0.21604728214;0.162127715405;0.950624526622;-0.328695718905;-0.0551875444142
-0.0858584825427;-0.0302080518868;-0.210695836441;152.725.553.555;214.081.057.301;-0.104727172455
-0.664926809221;0.919135827055;0.00243653681466;225.231.901.948;203.064.486.378;0.653748756692
-0.548288732801;-0.528565328027;-0.801092913329;184.936.962.902;-0.904917704389;199.993.870.003
0.935236191463;183.941.068.702;0.0206282397949;0.833618714205;-0.736099553953;21.181.425.229
-102.421.230.779;104.539.009.448;0.204366050782;242.998.331.172;-0.479945186555;15.259.703.198
0.644847152488;-144.498.718.643;0.505718797501;173.583.322.891;105.076.717.167;-0.621228886025
0.0793568349027;0.561038457617;0.325802711625;319.694.965.552;231.045.246.862;0.409865697587
0.376719868063;0.650872400394;-0.416340063844;-0.909512478385;356.214.860.102;0.65584453111
0.462240513173;0.263067896694;0.36065197589;0.983932265051;-124.356.092.573;211.519.050.918
0.973028103151;-0.0170236540958;0.107801293861;-0.992449424459;281.251.569.105;0.311775993159
-0.114269985428;-108.098.614.985;0.552783953522;2.349.425.425;0.0354567947856;178.321.165.695
-0.033940830122;-135.846.617.243;182.133.354.725;-160.550.784.046;-0.764543463049;0.472856801961
0.811377010177;0.448653432745;-0.69883818517;268.216.122.416;-0.463534094967;0.918408722859
0.173216762098;-121.301.578.164;-0.213115797791;222.665.169.157;0.121969881263;336.357.867.891
113.050.378.279;0.941622525938;143.330.313.383;-0.775707830008;310.372.387.334;0.253121323865
0.553484661867;118.752.171.196;-0.344003528037;0.569030921894;-307.803.266.701;200.494.245.448
0.440805181912;107.214.906.289;11.156.507.032;0.310849282625;394.722.158.567;0.725818892026
0.148990837935;0.219255727314;177.593.503.521;239.935.206.131;-23.010.720.086;-0.791414427718
-0.493219257424;-0.239453747229;0.558619347352;-166.045.702.411;0.522405164718;0.339800250917
-0.40049507589;-0.988446275058;0.862122886939;376.747.878.057;209.399.114.056;143.633.692.227
0.624356936003;0.133817727241;0.897810621164;305.333.459.172;-0.206807957036;-0.644759286391
-134.714.271.255;165.448.647.859;145.440.281.373;-335.932.368.186;-0.102937553009;106.252.011.487
-133.109.047.124;127.120.897.034;-10.706.190.343;343.730.482.552;193.741.482.093;-0.884604393579
0.580407752205;-108.102.680.178;131.692.285.243;-307.611.001.807;213.939.929.808;0.590838097803
131.228.189.798;-0.419799996933;-13.261.700.212;-0.842850343527;231.731.711.195;-177.517.601.605
